bias mitigation,other,accuracy,precision,recall,f1score,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness
FYP VAE,"'Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",67,60,140,98,5,15,5,5,5
FYP VAE,"'Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",66,42,162,98,9,21,5,4,5
FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",65,46,150,99,9,16,7,7,7
FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",75,53,147,89,11,22,3,3,3
FairBalance Bias Mitigation,{},84,163,22,34,45,73,46,65,46
FairMask Bias Mitigation,{},132,124,141,129,144,150,146,150,146
LFR,{'c': 'LFR'},123,133,89,94,16,25,16,15,16
No Bias Mitigation,{},224,224,224,224,224,224,224,224,224
Reweighing Bias Mitigation,{},92,78,128,94,27,41,23,23,23
,,224,224,224,224,224,224,224,224,224
